title,artist,top genre,year released,dur
Sail,AWOLNATION,la indie,2011,259
Harlem Shake,Baauer,bass trap,2013,197
Pompeii,Bastille,metropopolis,2013,214
Of The Night,Bastille,metropopolis,2013,214
Get Up (Rattle),Bingo Players,big room,2013,167
Sure Be Cool If You Did,Blake Shelton,contemporary country,2013,216
Ready or Not,Bridgit Mendler,dance pop,2012,201
Work Bitch,Britney Spears,dance pop,2013,248
Locked out of Heaven,Bruno Mars,dance pop,2012,233
When I Was Your Man,Bruno Mars,dance pop,2012,214
Treasure,Bruno Mars,dance pop,2012,179
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2012,213
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,2012,235
Thinking About You (feat. Ayah Marar),Calvin Harris,dance pop,2012,248
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop,2012,240
Safe And Sound,Capital Cities,metropopolis,2013,193
3005,Childish Gambino,atl hip hop,2013,234
Fine China,Chris Brown,dance pop,2014,213
The Mother We Share,CHVRCHES,electropop,2013,191
Body Party,Ciara,dance pop,2013,234
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,248
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,electro,2013,354
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,2011,201
Heart Attack,Demi Lovato,dance pop,2013,211
White Noise,Disclosure,edm,2013,278
"Hold On, We're Going Home",Drake,canadian hip hop,2013,228
Started From the Bottom,Drake,canadian hip hop,2013,174
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,2013,174
The Monster,Eminem,detroit hip hop,2013,250
Berzerk,Eminem,detroit hip hop,2013,239
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,2013,187
I Cry,Flo Rida,dance pop,2012,224
Cruise,Florida Georgia Line,contemporary country,2012,209
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,157
Demons,Imagine Dragons,modern rock,2012,175
Radioactive,Imagine Dragons,modern rock,2012,187
Power Trip (feat. Miguel),J. Cole,conscious hip hop,2013,241
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,178
The Other Side,Jason Derulo,dance pop,2013,227
Holy Grail,JAY-Z,east coast hip hop,2013,338
Love Me Again,John Newman,dance pop,2013,240
Beauty And A Beat,Justin Bieber,canadian pop,2012,228
Mirrors,Justin Timberlake,dance pop,2013,484
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,2013,326
Black Skinhead,Kanye West,chicago rap,2013,188
This Is How We Do,Katy Perry,dance pop,2013,204
Sonnentanz - Sun Don't Shine,Klangkarussell,austrian pop,2013,236
All I Want,Kodaline,irish pop,2013,306
High Hopes,Kodaline,irish pop,2013,230
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,215
Love Me,Lil Wayne,hip hop,2013,255
Somewhere Only We Know,Lily Allen,dance pop,2014,209
Royals,Lorde,art pop,2013,190
Team,Lorde,art pop,2013,193
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,258
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2012,236
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,dance pop,2012,319
Daylight,Maroon 5,pop,2012,225
Animals - Radio Edit,Martin Garrix,dance pop,2016,176
It's a Beautiful Day,Michael Bublé,adult standards,2013,199
We Can't Stop,Miley Cyrus,dance pop,2013,231
I Will Wait,Mumford & Sons,modern folk rock,2012,277
La La La,Naughty Boy,tropical house,2013,221
Hey Porsche,Nelly,dance pop,2013,209
Little Talks,Of Monsters and Men,folk-pop,2012,267
Best Song Ever,One Direction,boy band,2013,200
One Way or Another (Teenage Kicks),One Direction,boy band,2013,157
True Love (feat. Lily Allen),P!nk,dance pop,2012,231
Still into You,Paramore,candy pop,2013,216
Ain't It Fun,Paramore,candy pop,2013,297
Home,Phillip Phillips,folk-pop,2013,210
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,230
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,206
Blurred Lines,Robin Thicke,contemporary r&b,2013,263
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,2013,293
Reload - Radio Edit,Sebastian Ingrosso,dance pop,2013,221
Come & Get It,Selena Gomez,dance pop,2013,232
Look Right Through - MK Vocal Edit,Storm Queen,deep disco house,2013,148
Papaoutai,Stromae,belgian pop,2013,232
I Knew You Were Trouble.,Taylor Swift,pop,2012,220
22,Taylor Swift,pop,2012,232
Everything Has Changed,Taylor Swift,pop,2012,245
Chocolate,The 1975,modern alternative rock,2013,225
Ho Hey,The Lumineers,folk-pop,2012,163
Sweater Weather,The Neighbourhood,modern alternative rock,2013,240
What About Us,The Saturdays,bubblegum dance,2013,221
Another Love,Tom Odell,chill pop,2013,244
Bad (feat. Rihanna) - Remix,Wale,gangster rap,2013,239
Scream & Shout,will.i.am,dance pop,2013,283
#thatPOWER,will.i.am,dance pop,2013,280
The Fox (What Does the Fox Say?),Ylvis,comic,2013,214
Clarity,Zedd,complextro,2012,271
She Looks So Perfect,5 Seconds of Summer,boy band,2014,202
Amnesia,5 Seconds of Summer,boy band,2014,237
Heroes (we could be),Alesso,dance pop,2014,210
The Man,Aloe Blacc,pop soul,2014,255
Best Day Of My Life,American Authors,indie poptimism,2014,194
Love Me Harder,Ariana Grande,dance pop,2014,236
Problem,Ariana Grande,dance pop,2014,194
Break Free,Ariana Grande,dance pop,2014,215
Hey Brother,Avicii,dance pop,2013,255
Shower,Becky G,dance pop,2014,206
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,2014,323
Hot N*gga,Bobby Shmurda,nyc rap,2014,195
Summer,Calvin Harris,dance pop,2014,223
Blame (feat. John Newman),Calvin Harris,dance pop,2014,213
Under Control (feat. Hurts),Calvin Harris,dance pop,2014,184
Boom Clap,Charli XCX,art pop,2014,170
Loyal (feat. Lil Wayne & Tyga),Chris Brown,dance pop,2014,265
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,244
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,228
First,Cold War Kids,alternative rock,2014,200
Magic,Coldplay,permanent wave,2014,285
A Sky Full of Stars,Coldplay,permanent wave,2014,268
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,2014,171
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,2014,204
Latch,Disclosure,edm,2013,256
Turn Down for What,DJ Snake,dance pop,2013,214
You Know You Like It,DJ Snake,dance pop,2014,247
I Got U,Duke Dumont,destroy techno,2014,286
Cool Kids,Echosmith,dance pop,2013,238
Don't,Ed Sheeran,pop,2014,220
Sing,Ed Sheeran,pop,2014,235
Ugly Heart,G.R.L.,dance pop,2014,198
Budapest,George Ezra,folk-pop,2014,201
Blame It on Me,George Ezra,folk-pop,2014,196
Ready For Your Love,Gorgon City,deep groove house,2014,199
